id,title,filtered_words,label
R129,New Report on Election,"['measure', 'although', 'officer', 'maintain.', 'certain', 'wait', 'baby', 'theory', 'war.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['person', 'bed', 'billion', 'remain.', 'law', 'dark', 'social', 'child', 'possible', 'author', 'view.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['goal', 'two', 'investment', 'accept', 'pretty.', 'south', 'call', 'free.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['true', 'add', 'program.', 'occur', 'maybe', 'control', 'sometimes', 'watch', 'along.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['protect', 'win', 'husband', 'story.', 'enjoy', 'professional', 'box.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['government', 'dream', 'protect', 'improve', 'piece.', 'interview', 'peace', 'sit', 'station', 'agency', 'difficult', 'area.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['argue', 'range.', 'training', 'drive', 'voice', 'recent.', 'note', 'power', 'summer', 'require', 'according', 'role', 'teach.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['pass', 'management', 'manager', 'action', 'morning', 'food.', 'part', 'heart', 'citizen', 'fast', 'catch.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['church', 'green', 'meet', 'put', 'cup', 'brother', 'nice.', 'probably', 'north', 'fight', 'community', 'structure', 'capital.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['sit', 'shoulder', 'report', 'easy', 'city', 'body', 'listen.', 'whether', 'minute', 'born.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
R170,New Report on Technology Breakthrough,"['carry', 'style', 'science', 'personal', 'watch.', 'star', 'treatment', 'yeah.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
F110,Celebrity Scandal Confirmed by Sources,"['serious', 'deep', 'include', 'cup', 'political', 'live.', 'two', 'environment', 'city', 'report', 'cold', 'end', 'tend', 'theory.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
